# Mid-cap rating-rationale registry (batch 1+). Amount-weighted PSB share from
# CRISIL "Details of Bank Lenders & Facilities" annexures. Amount in Rs crore.
# PSB (amount) = sum(facility amt at PSB banks) / sum(all named-bank facility amt).
SOURCE|BALRAMCHIN|CRISIL|2024-02-27|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/BalrampurChiniMillsLimited_February%2027,%202024_RR_337963.html
FACILITY|BALRAMCHIN|HDFC Bank Limited|Cash Credit|575
FACILITY|BALRAMCHIN|ICICI Bank Limited|Cash Credit|200
FACILITY|BALRAMCHIN|Kotak Mahindra Bank Limited|Cash Credit|200
FACILITY|BALRAMCHIN|State Bank of India|Cash Credit|1125
FACILITY|BALRAMCHIN|ICICI Bank Limited|Long Term Loan|37.5
FACILITY|BALRAMCHIN|HDFC Bank Limited|Long Term Loan|50.15
FACILITY|BALRAMCHIN|State Bank of India|Term Loan|220
FACILITY|BALRAMCHIN|HDFC Bank Limited|Term Loan|140
BANKNAMES|BALRAMCHIN|yes
SOURCE|EIDPARRY|CRISIL|2025-01-29|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/EIDParryIndiaLimited_January%2029_%202025_RR_361887.html
FACILITY|EIDPARRY|State Bank of India|Bank Guarantee|100
FACILITY|EIDPARRY|State Bank of India|Cash Credit|500
FACILITY|EIDPARRY|State Bank of India|Letter of Credit|50
FACILITY|EIDPARRY|HDFC Bank Limited|Long Term Loan|17.5
FACILITY|EIDPARRY|Axis Bank Limited|Long Term Loan|126.7
FACILITY|EIDPARRY|Axis Bank Limited|Long Term Loan|57.8
FACILITY|EIDPARRY|Axis Bank Limited|Long Term Loan|92.5
FACILITY|EIDPARRY|HDFC Bank Limited|Short Term Loan|130
FACILITY|EIDPARRY|The Federal Bank Limited|Short Term Loan|100
FACILITY|EIDPARRY|Union Bank of India|Working Capital Demand Loan|250
BANKNAMES|EIDPARRY|yes
SOURCE|KNRCON|CRISIL|2025-11-27|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KNRConstructionsLimited_November%2027_%202025_RR_382419.html
FACILITY|KNRCON|Axis Bank Limited|Fund-Based|20
FACILITY|KNRCON|ICICI Bank Limited|Fund-Based|40
FACILITY|KNRCON|RBL Bank Limited|Fund-Based|10
FACILITY|KNRCON|IndusInd Bank Limited|Fund-Based|5
FACILITY|KNRCON|The Federal Bank Limited|Fund-Based|10
FACILITY|KNRCON|Punjab National Bank|Fund-Based|12
FACILITY|KNRCON|Kotak Mahindra Bank Limited|Fund-Based|10
FACILITY|KNRCON|HDFC Bank Limited|Fund-Based|10
FACILITY|KNRCON|State Bank of India|Fund-Based|20
FACILITY|KNRCON|IDBI Bank Limited|Fund-Based|8
FACILITY|KNRCON|Punjab National Bank|Non-Fund Based|88
FACILITY|KNRCON|State Bank of India|Non-Fund Based|410
FACILITY|KNRCON|IDBI Bank Limited|Non-Fund Based|242
FACILITY|KNRCON|ICICI Bank Limited|Non-Fund Based|205
FACILITY|KNRCON|Axis Bank Limited|Non-Fund Based|220
FACILITY|KNRCON|RBL Bank Limited|Non-Fund Based|240
FACILITY|KNRCON|Kotak Mahindra Bank Limited|Non-Fund Based|90
FACILITY|KNRCON|HDFC Bank Limited|Non-Fund Based|230
FACILITY|KNRCON|The Federal Bank Limited|Non-Fund Based|240
FACILITY|KNRCON|IndusInd Bank Limited|Non-Fund Based|235
BANKNAMES|KNRCON|yes
SOURCE|ASHOKA|CRISIL|2024-05-27|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/AshokaBuildconLimited_May%2027_%202024_RR_327983.html
FACILITY|ASHOKA|Axis Bank Limited|Fund-Based|67
FACILITY|ASHOKA|Bank of India|Fund-Based|60
FACILITY|ASHOKA|Bank of Maharashtra|Fund-Based|18
FACILITY|ASHOKA|HDFC Bank Limited|Fund-Based|7
FACILITY|ASHOKA|Indian Bank|Fund-Based|11
FACILITY|ASHOKA|Punjab and Sind Bank|Fund-Based|7
FACILITY|ASHOKA|Aditya Birla Finance Limited|Fund-Based|75
FACILITY|ASHOKA|Punjab National Bank|Fund-Based|14
FACILITY|ASHOKA|State Bank of India|Fund-Based|63
FACILITY|ASHOKA|Axis Bank Limited|Non-Fund Based|595
FACILITY|ASHOKA|Bank of India|Non-Fund Based|270
FACILITY|ASHOKA|Bank of Maharashtra|Non-Fund Based|508
FACILITY|ASHOKA|Exim Bank|Non-Fund Based|280
